,0
cigar,4.9428089854578685
rebut,4.726697091281464
sissy,4.0469247188460375
humph,4.171643012249958
awake,4.126019862587086
blush,4.8122138175450635
focal,4.542037967251805
evade,4.218237511820401
naval,4.073192780154286
serve,4.429894656887188
heath,4.651053915675615
dwarf,4.5213757455318575
model,4.985537614278979
karma,4.116791632733436
stink,4.714422330462174
grade,4.4306898253510205
quiet,4.793166224593214
bench,4.6682206652371905
abate,4.534163701645303
feign,4.531795687616673
major,4.3399198819419
death,5.022242991481865
fresh,5.174141536100535
crust,5.060576879151406
stool,4.820832430830211
colon,4.532339727810382
abase,4.515461303189681
marry,3.999374979408264
react,4.970139434748529
batty,4.048797117473958
pride,4.53570769237578
floss,5.1401538144047985
helix,4.839298155815569
croak,4.650928984031477
staff,4.200561520076072
paper,4.02006528548588
unfed,4.625236556472344
whelp,4.805420548039022
trawl,4.92828448992862
outdo,4.8458750205463055
adobe,4.800553403725066
crazy,3.8742179702946653
sower,4.963791935331117
repay,4.2732209284936085
digit,4.512513515673514
crate,4.895595264408908
cluck,3.9045240296009975
spike,4.534739381631941
mimic,3.93019320030803
pound,4.607094102877368
maxim,3.8648699575232697
linen,4.584241105369502
unmet,4.9514387347390265
flesh,5.110437081060398
booby,3.5466003423353487
forth,4.885397542612948
first,5.163776318845678
stand,4.985924260376146
belly,3.927425707978746
ivory,4.627082364844072
seedy,4.522147187607524
print,4.851184667348173
yearn,4.698083437497541
drain,4.786568963425791
bribe,4.100307298549699
stout,4.63177849652314
panel,4.7366545584778805
crass,5.073681149235135
flume,4.299609427345449
offal,4.277288331272975
agree,4.717595998256666
error,4.4050796504448915
swirl,5.107140566030503
argue,4.628766519524042
bleed,4.51625770967199
delta,4.900113333415855
flick,4.262429461430955
totem,5.000192139685979
wooer,4.473983235258753
front,4.882686818642673
shrub,5.022555778267266
parry,4.034038582726595
biome,4.978789429730626
lapel,4.435289300318394
start,4.664881332916088
greet,4.744622231148509
goner,4.728770769509171
golem,4.948390538775723
lusty,4.848842609956032
loopy,4.182261583291858
round,4.804359994989795
audit,5.023172996174228
lying,4.39422235313746
gamma,3.6632470993701496
labor,4.854405912708643
islet,5.580528694122902
civic,3.846796247770987
forge,4.566929513019068
corny,4.613514731995297
moult,5.005311023060906
basic,4.9504589304287645
salad,4.666707214816445
agate,4.5246637997744825
spicy,4.472272908302227
spray,4.496534071574592
essay,4.577814923725303
fjord,4.362616833840557
spend,4.938293949164187
kebab,3.9951306524074672
guild,4.661037540047648
aback,4.078831641187502
motor,4.849135884517094
alone,4.975952777769608
hatch,4.403327055395208
hyper,4.59958697311372
thumb,4.840831863404328
dowry,4.472489544508526
ought,5.000958130646499
belch,4.66295142644276
dutch,4.804902608981645
pilot,5.1547690635928225
tweed,4.919300431973808
comet,5.227982665820453
jaunt,4.313575121119081
enema,4.486625390481606
steed,5.02659144873689
abyss,5.048122489985545
growl,4.621491943460759
fling,4.218411094464486
dozen,4.57660831285168
boozy,3.546171747502539
erode,4.62808055327198
world,4.89783376093164
gouge,4.301243654541442
click,4.051680489575821
briar,4.535870899583552
great,4.857069140890014
altar,4.876254601021251
pulpy,3.7411523777737266
blurt,4.828100491174707
coast,5.288794483549082
duchy,4.44827381160111
groin,4.778364831142767
fixer,4.042282176184536
group,4.547908449521795
rogue,4.896233666525468
badly,4.221712514437558
smart,4.972645321310102
pithy,4.6088582920401535
gaudy,4.255359973125517
chill,4.619654990764173
heron,5.212462623762306
vodka,4.5890988258162055
finer,4.429691885601611
surer,4.500429312105682
radio,5.043590987511571
rouge,4.718190020699652
perch,4.762836998056162
retch,5.015092887138149
wrote,5.159907495333112
clock,4.125683162155929
tilde,5.309171519421957
store,5.276287608813451
prove,4.352870832129721
bring,4.352595417750331
solve,5.030328448337313
cheat,5.057446991727701
grime,4.529311774810569
exult,4.506664726809244
usher,5.149181079712283
epoch,5.106960636716475
triad,5.138235059949534
break,4.3668471341426605
rhino,5.284072901879089
viral,4.664133304037464
conic,4.462342219381969
masse,4.67148402579221
sonic,5.2140812996573045
vital,4.722900713190764
trace,4.969010460086399
using,4.720508478339389
champ,4.56902288331577
