GlobalID,Detection Date,Notes,Lab Status,Lab Comments,Submission Date,Latitude,Longitude,LatLon,intercept,predict,img
{13B67BCB-AFCE-4100-AD2B-76EF178BA228},2020-01-15 00:00:00,"Massive loss of bees, decapitated. No hornet specimens were located.",Unverified, ,2020-01-15,0.9138643697734695,0.26092655692122985,0.23845148349798104,1.0,0.9673156675416118,0.43430655407438074
{BBBA5BA0-CAFB-43D3-8F1D-FB2D9CF777E0},2019-08-31 00:00:00,"I was cleaning my gutters when I heard a snapping noise coming from the wall of my house. It was sitting on a dirt clump that looked to have been starting a nest. I backed away, and waited till evening to spray hornet killer on it. Next day knocked down",Unverified,"Thanks for this report. I can't verify it from this information, but we will be surveying in the area this spring and summer. Please do reach out if you see another!",2020-02-14,0.8563652572660962,0.3008874852752061,0.2576695887358506,1.0,0.12787552692786083,0.4335854315667112
{EB4746A1-5A8B-4D7D-9149-D560988238EC},2019-10-15 00:00:00,"We found about a dozen of these bees in our backfield last October while we were storing bee boxes, Sorry no pictures",Unverified,Thanks for your submission. Here's hoping they were some other large insect!,2020-02-27,0.9264029723662828,0.2562190512429224,0.2373620906483122,1.0,0.987950504082005,0.4350450801332149
{E6ADE6FB-0BD3-43EC-8E75-72EFC6F029FB},2020-03-01 00:00:00,Reported to Washington Invasive Species Council via voicemail,Unverified, ,2020-03-02,0.7128303407704766,0.3021572747045046,0.2153868730938905,1.0,5.715385547179248e-05,0.43229040444619227
{0AF6F3AA-8565-4B8F-8BF5-8D43D9677FE2},2019-07-17 00:00:00, ,Unverified,Thank you for your submission. Since there is no accompanying information we are unable to verify this sighting.,2020-03-19,0.5263826868205349,0.7431571879770161,0.3911850773373351,1.0,3.180970805475314e-09,0.4418055971286241
{630D20B9-8DD9-41E0-84FE-7C4F87C412E6},2020-03-16 00:00:00,An enormous bee-like insect buzzed around the window sill in my south-facing upstairs bedroom window. It was much longer than any bee or hornet/wasp I have ever seen. The sheer length of it was unlike anything I've seen before. It appeared fuzzy like a b,Unverified,"Hmm... This sounds like one of our native sawflies, which are large and can be active this time of year. Impossible to say without a picture.",2020-03-19,0.7752807279307948,0.30379155399254804,0.23552373711857,1.0,0.001599232892865312,0.4365768973366137
{72E591F1-F42C-4754-94FF-DBDF791BBF2E},2020-03-20 00:00:00,It wasn't huge but definitely  had a yellow head and yellow mid section,Unverified,Thanks for your submission. There are many insects that this could be besides the Asian giant hornet. Keep your fingers crossed that it isn't!,2020-03-21,0.9124790805309482,0.2838260001724113,0.2589852876680986,1.0,0.8871388070775544,0.4390202507353257
{4F753C6C-B49B-4C2D-AD30-8CDAF540DE9F},2020-03-27 00:00:00,Digging garden area and uncovered a bee,Unverified,Hopefully it is just a bee!,2020-03-28,0.6462158115152514,0.3291395513037357,0.21269518224750927,1.0,9.893140394586702e-07,0.4375172731257819
{9610DC8B-98D0-4C39-8235-55CE16B16F57},2016-06-20 00:00:00,"The large size caught my attention.  I took a number of photos at the time, but haven't located them other than one I sent to another person.  It is still on a text message on a phone I do not use anymore.  Just looked it up and it appears to be what you",Unverified,"Thanks for your submission. I don't see a way to contact you. However, the very early date (if it was in 2016) puts my mind at ease. If you can find the picture, please email me with your contact information: clooney@agr.wa.gov",2020-03-29,0.6330432856178159,0.35067401324039454,0.22199182952248483,1.0,3.728987800626901e-07,0.4367553407782652
{2BDDD0B5-3687-494E-BBAD-8FE8DC6F6542},2019-08-02 00:00:00,These wasps visited my garden daily throughout the summer. They hunted particularly on my flowering Oregano plant.  They typically were there from mid morning to early evening. I’ve seem at least 2-3 there at the same time.,Unverified, ,2020-03-31,0.346932211578244,0.2184211012932782,0.07577731572703265,1.0,1.4974383838897054e-14,0.4369830962090148
