GlobalID,Detection Date,Notes,Lab Status,Lab Comments,Submission Date,Latitude,Longitude,img,class,label,LatLon,intercept,predict,imgtrans
{5AC8034E-5B46-4294-85F0-5B13117EBEFE},2019-12-08 00:00:00,"One dead wasp seen in Blaine, and suspect flying nearby",Positive ID, ,2020-01-15,0.8603187976296502,0.2433728292635958,0.4424880676178994,1,1,0.2093782198477829,1.0,0.7288368488909159,0.7139313151524674
{5EAD3364-2CA7-4A39-9A53-7F9DCF5D2041},2019-10-30 00:00:00,Hornet specimen sent to WSU,Positive ID, ,2020-01-15,0.8580905891757608,0.2417543896174211,0.4414169723356774,1,1,0.2074471666226393,1.0,0.7159378525882807,0.6472603131121997
{124B9BFA-7F7B-4B8E-8A56-42E067F0F72E},2019-09-19 00:00:00,"This was the colony that was found and destroyed in Nanaimo, BC Sep 18, 2019. There were ~150 live hornets and ~600 unhatched eggs & larvae",Positive ID,"Thanks for adding this, and the great pictures!",2020-02-04,0.9018036294300892,0.080119528755342,0.4410553617142519,1,1,0.07225208181979581,1.0,0.9999949559302703,0.6247516316914147
{AD56E8D0-CC43-45B5-B042-94D1712322B9},2020-05-27 00:00:00, ,Positive ID,"Specimen collected and verified by WSDA and USDA. Great job, and thank you for this submission!",2020-05-27,0.8540598598532023,0.2469467208315213,0.444684172465839,1,1,0.21090728178457696,1.0,0.6064508377489205,0.8506292478460782
{F1864CC3-508C-4E60-9098-B158AB413B03},2019-11-13 00:00:00, ,Positive ID,"Photograph only, confirmed by provincial government. Site added by WSDA.",2020-06-01,0.8713642572700068,0.227478601672309,0.4451030473801084,1,1,0.19821672279101124,1.0,0.9205655448694362,0.8767023813267314
{1C6D0EAB-F68D-411D-974E-1233618854CC},2020-05-15 00:00:00,Specimen collected by citizen scientist and reported to provincial government.,Positive ID,Added by WSDA,2020-06-05,0.8798346519055555,0.249469628557821,0.4470452937843279,1,1,0.2194920238031787,1.0,0.8709072171620365,0.9975987349263743
{FC6E894B-F6DF-4FDC-853A-D7372D253988},2020-06-07 00:00:00, ,Positive ID,Thank you for submitting this depressing sighting!,2020-06-12,0.8101970406337039,0.2784911999458684,0.4412980362259208,1,1,0.2256327460386717,1.0,0.02804902369184127,0.6398570598742672
{7F3B6DB6-2ED4-4415-8DC2-3F03EC88F353},2019-09-30 00:00:00,Insects observed late Sept or early Oct,Positive ID,"Thank you for contacting us with photographs, and for sending the specimens!",2020-06-15,0.8634961810059077,0.2415851027562139,0.4456369189968739,1,1,0.2086078136179105,1.0,0.7811405905450922,0.9099335571533803
{A717D86F-23E9-4C8C-9F12-198A71113E93},2020-08-17 00:00:00,"Spotted at outdoor dining in Birch Bay, posted to WSDA Facebook site",Positive ID, ,2020-08-24,0.8471453927571535,0.2360193255070155,0.4394148047012219,0,1,0.1999426842049191,1.0,0.6210320132787075,0.5226341247073534
{2138197A-F5CF-4308-93E2-62EA6F84D098},2020-09-21 00:00:00,"We caught and killed 2, 2nd on September 25th",Positive ID,"Thank you for submitting this important find, and retaining the specimens.",2020-09-26,0.8611255839963143,0.2581667573173298,0.4468775998857335,1,1,0.22231399966332038,1.0,0.585357981543029,0.9871605223407177
{0FAC3767-EAC4-477A-B5F0-24AF8A40BD09},2020-09-30 00:00:00,doorbell cam image,Positive ID, ,2020-10-01,0.859950016197313,0.2573175904793367,0.4470838710310021,1,1,0.22128026610055918,1.0,0.5777033880454243,1.0
{BEAC832C-0783-414A-9354-C297F38570AD},2020-10-01 00:00:00,Dead hornet in light,Positive ID, ,2020-10-01,0.8609053497942395,0.2571705542355564,0.4384175380476599,0,1,0.22139950595094013,1.0,0.5934406173527765,0.46055863226713784
{DEF5D82B-E326-41A5-9B6C-D46DCD86950C},2020-09-29 00:00:00,Live hornet captured by WSDA staff,Positive ID, ,2020-10-01,0.8611016883390411,0.2581783380480352,0.4441592274466027,1,1,0.2223178027857308,1.0,0.5848748087178917,0.8179537137181253
{AA461F47-1B2B-4EA1-8154-ECF70B55A334},2020-09-28 00:00:00,WSDA submitted for citizen report,Positive ID, ,2020-10-12,0.8611135129941878,0.258177557324617,0.4394217053497522,0,1,0.22232018336405926,1.0,0.5850575157936365,0.5230636599316049
{C4F44511-EA53-4FCF-9422-E1C57703720D},2020-02-29 00:00:00,"I’m not sure what this is, but it was the biggest looking wasp/hornet I’ve ever seen, at least an inch long. Sorry for the poor quality picture, I went inside to get a glass to catch it and it flew away.",Negative ID,This is a large fly that mimics bees! Thanks for submitting it.,2020-02-29,0.7983876590015807,0.2704988041919622,0.4345573453375277,0,0,0.21596290704154766,1.0,0.019409256991448416,0.22027850002796717
{89C867F1-D5ED-48C8-9586-B705F5DA9838},2019-09-07 00:00:00,"slow moving, i have this in the freezer still i think. I saw 3 of them 98588",Negative ID,Thank you for this submission. This is a harmless native golden digger wasp:  ,2020-03-18,0.4697915781357204,0.1891535396698598,0.4344358538235297,0,0,0.08886273991146103,1.0,3.9459812108301685e-11,0.21271618403976542
{81670D96-4143-47B1-A9C8-83977892D53F},2020-03-19 00:00:00,It landed on my window while working. It walked around and then bounced across it as it tried to fly into the glass.,Negative ID,Hello! This one is a Yellowjacket:  ,2020-03-19,0.5792484692614394,0.2908591600977452,0.4409936688004761,1,0,0.16847972325728683,1.0,4.3793973032871194e-08,0.6209115173257851
{D30895B7-3994-45A3-BD51-E5BA881833FD},2019-08-30 00:00:00,"Probably not an Asain Hornet but still a pretty mean looking one that I can't I.D. Second sighting that day, both found while cutting down dead Hemlock trees.",Negative ID,"Hello! This is a native wood-boring wasp, in the genus Urocerus:  ",2020-03-19,0.5287515258116212,0.325501159374276,0.4389377548749582,0,0,0.17210923467260011,1.0,2.640647054121913e-09,0.49293985710292676
{1304CF55-4FF9-490F-AF5A-5719CD110A9D},2020-03-23 00:00:00,"Was on the garden hose. It stung (maybe just a bite but there was only one puncture hole) the palm of my hand. Approximately 1.5 inches in length, dark dark brown with thin yellow markings.",Negative ID,"This sounds more like a yellowjacket, which are also becoming active at this time. Asian giant hornets have very distinct large orange striping. Also, their sting is described as being like a kick from a horse!",2020-03-24,0.8018399656099607,0.2758317957419351,0.4375159800290469,0,0,0.22117295761184697,1.0,0.019364483700816098,0.4044405842316027
{5AD8CAF4-AB96-4BFA-8A08-6010C96937F1},2020-03-31 00:00:00,"Not sure if this is the target pest, but I figured we would send the picture in for examination. The head came off when we removed the pest from the cowling on an engine.",Negative ID,"Thanks for your submission! This is a paper wasp, common in our area.",2020-03-31,0.2762113804915361,0.5199305676639979,0.4407467948722428,1,0,0.14361073985422088,1.0,8.014947227517516e-12,0.6055446938077256
{8DFDA283-3AFD-4E9F-9878-7A0F22E1B917},2019-07-23 00:00:00,not sure if this is one. but in case it is. Saw it at Bayview farm and garden nursery on Whidbey Island,Negative ID,"This one is one of our native species, Sphex ichneumoneus.",2020-04-01,0.6203199308257673,0.2728386322766678,0.438620512914151,0,0,0.16924724150045956,1.0,5.461070487213651e-07,0.4731929309729222
